Date,Sign,Text
1 january 2019,aries,"Happy new year! 2019 will be a game changer for you, Aries. Abundant, optimistic Jupiter is in your house of taking chances, its first visit here in over a decade. This is the year to push past previous boundaries. If you can think of, you can do it!

"
2 january 2019,aries,"This is a powerful day with the fiery Sun forming a perfect angle with disciplined Saturn. If you have any major decisions to make, now is the time to do so. You’ll be operating with logic, maturity and good long-term focus. This is a great way to kick off 2019.

"
5 january 2019,aries,"Hurt feelings can be patched up thanks to a lunar aspect that wants you to feel better about yourself. You don’t even have to have a conversation with someone in order to heal. Maybe you just need to write a letter, the kind you don’t mail, but allows you to release pent-up feelings.

"
6 january 2019,aries,"Got #goals? If so, then you’ll love today’s sizzling aspects. First there’s a solar eclipse in your house of ambition and success. Then Uranus, planet of genius, goes direct—in Aries! This is truly one of the best days in YEARS to act on things that mean a lot to you, including those that seem like impossible dreams.

"
7 january 2019,aries,"Ggrrrr!!!! Feel like taking a risk in love? Or maybe you want to add a bit of uh, spice,  to your relationship. Then you’ll be pleased to know that amorous Venus enters your house of free-spirited thinking today. However, this isn’t just about being kinky, so stop thinking 50 Shades. This is more about taking exotic vacations together, dating a brand new type or going to new venues on date night.

"
8 january 2019,aries,"Raging against “the machine” could backfire on you big time, Aries. This could mean your boss, a government agency, a cop who pulls you over or a key decision maker. Keep calm and carry on.

"
9 january 2019,aries,"Be open to doing something spontaneous with a friend, colleague or team. You look like the person with the cool ideas, and people will be willing to hear about them. Friday is wonderful for getting these ideas off the ground.

"
10 january 2019,aries,"It’s a groovy, vibey kind of a day thanks to a Moon-Neptune meet up in the most mysterious part of your chart. Have a tryst, the kind that goes on behind closed doors. Study meditation. Snoop your business competition to gather valuable intel. Confidentiality is the word o’ the day.

"
11 january 2019,aries,"This could be on of the most decisive days for you in 2019. The authoritative Sun meets up with tough-as-nails Pluto, and they’re focusing on your goals. It’s a smart time for doing research. Knowledge is power, don’t forget that.

"
12 january 2019,aries,"The Moon enters your sign, which means that you should be feeling charged up this weekend. Really  charged up, because La Luna hooks up with assertive Mars. You’re in quite an ambitious phase these days, and this energy will go into next week.

"
